#area is 2971.75669802069square degrees
#effective area is 2971.75669802069square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.8050000071525574 0.8 0.81 0.0005042041148851259 32514.0 64485788.67193051
0.8149999976158142 0.81 0.82 0.0005443295423943981 35565.0 65337258.462137826
0.824999988079071 0.82 0.83 0.0005679276941286034 37586.0 66180959.98588318
0.8349999785423279 0.83 0.84 0.000577155037589583 38679.0 67016654.938226104
0.8450000286102295 0.84 0.85 0.0006108528528679279 41443.0 67844489.5614826
0.8550000190734863 0.85 0.86 0.0006017596424958206 41319.0 68663627.6049153
0.8650000095367432 0.86 0.87 0.0006190747537789938 43010.0 69474647.02357145
0.875 0.87 0.88 0.0006340287263785904 44558.0 70277572.83885838
0.8849999904632568 0.88 0.89 0.0006410819127542482 45563.0 71072041.01929808
0.8949999809265137 0.89 0.9 0.0006511130887658648 46788.0 71858484.8120364
0.9049999713897705 0.9 0.91 0.0006347629811133167 46107.0 72636561.00286835
0.9150000214576721 0.91 0.92 0.0006392018409636291 46921.0 73405608.35879982
0.925000011920929 0.92 0.93 0.0006398971202835485 47459.0 74166609.74965815
0.9350000023841858 0.93 0.94 0.000639571176012183 47916.0 74918948.50353178
0.9449999928474426 0.94 0.95 0.000626050729319785 47369.0 75663197.53587261
0.9549999833106995 0.95 0.96 0.0006118956947151442 46748.0 76398641.80080985
0.9650000333786011 0.96 0.97 0.0006090672196915654 46975.0 77126133.99845812
0.9750000238418579 0.97 0.98 0.0006138927507187148 47788.0 77844216.18279774
0.9850000143051147 0.98 0.99 0.0006110179939854327 47998.0 78554151.38747014
0.9950000047683716 0.99 1.0 0.000606717285332625 48086.0 79256024.44907674
1.0049999952316284 1.0 1.01 0.000612517329706641 48970.0 79948758.38607487
1.0149999856948853 1.01 1.02 0.0006156622072776714 49643.0 80633502.2893656
1.024999976158142 1.02 1.03 0.0005978498777526744 48611.0 81309709.69289045
1.034999966621399 1.03 1.04 0.0005838795186867298 47865.0 81977528.69917178
1.0449999570846558 1.04 1.05 0.0005630307107794111 46527.0 82636700.1110686
1.0549999475479126 1.05 1.06 0.0005634805034552237 46931.0 83287708.64692272
1.065000057220459 1.06 1.07 0.0005527502364531598 46393.0 83931216.92301865
1.0750000476837158 1.07 1.08 0.0005441876442241893 46019.0 84564580.78096592
1.0850000381469727 1.08 1.09 0.0005437107871948474 46319.0 85190511.37273252
1.0950000286102295 1.09 1.1 0.0005317558683003618 45629.0 85808173.86339873
1.1050000190734863 1.1 1.11 0.0005176831360025666 44737.0 86417727.15535821
1.1150000095367432 1.11 1.12 0.0005130598550211936 44646.0 87019086.68756738
1.125 1.12 1.13 0.0005121671058285805 44872.0 87612030.31070569
1.1349999904632568 1.13 1.14 0.0005080548402636839 44809.0 88197171.73985356
1.1449999809265137 1.14 1.15 0.0004992888076681807 44324.0 88774271.16182628
1.1549999713897705 1.15 1.16 0.0005008550587802918 44748.0 89343212.6032083
1.1649999618530273 1.16 1.17 0.000493948246203132 44408.0 89904155.63038073
1.1749999523162842 1.17 1.18 0.000488816487127487 44217.0 90457259.8601157
1.184999942779541 1.18 1.19 0.0004803426195123893 43713.0 91003792.34383662
1.1950000524520874 1.19 1.2 0.00048668350652022584 44551.0 91539983.17826398
1.2050000429153442 1.2 1.21 0.0004738794392837795 43630.0 92069831.2337465
1.215000033378601 1.21 1.22 0.0004769549039931809 44162.0 92591562.91352734
1.225000023841858 1.22 1.23 0.0004697974732620687 43741.0 93106077.59612153
1.2350000143051147 1.23 1.24 0.0004604389465530228 43103.0 93612845.57416645
1.2450000047683716 1.24 1.25 0.00045378902805520184 42707.0 94112015.40731135
1.2549999952316284 1.25 1.26 0.0004495698892454387 42531.0 94603755.76172224
1.2649999856948853 1.26 1.27 0.0004486675442737738 42663.0 95088224.1082438
1.274999976158142 1.27 1.28 0.0004431846530861545 42353.0 95565132.28757186
1.284999966621399 1.28 1.29 0.00044223635837767214 42470.0 96034618.5822433
1.2949999570846558 1.29 1.3 0.00043136969308700545 41626.0 96497275.2307015
1.3049999475479126 1.3 1.31 0.00042457857016389646 41164.0 96952608.75769074
1.315000057220459 1.31 1.32 0.0004335145626766424 42225.0 97401572.2546685
1.3250000476837158 1.32 1.33 0.0004281509527599299 41891.0 97841660.12002046
1.3350000381469727 1.33 1.34 0.0004162163240459857 40904.0 98275818.69537802
1.3450000286102295 1.34 1.35 0.0004089235831811707 40362.0 98703038.0737858
1.3550000190734863 1.35 1.36 0.00040632148820345137 40276.0 99123480.22271761
1.3650000095367432 1.36 1.37 0.00040378996081723436 40192.0 99536897.64513963
1.375 1.37 1.38 0.0003907312010104999 39051.0 99943387.93269444
1.3849999904632568 1.38 1.39 0.0003977812849125924 39915.0 100344087.35134643
1.3949999809265137 1.39 1.4 0.0003853105934741311 38815.0 100736913.69351347
1.4049999713897705 1.4 1.41 0.00038681043373545545 39116.0 101124469.73638754
1.4149999618530273 1.41 1.42 0.0003748793439015973 38052.0 101504659.08302574
1.4249999523162842 1.42 1.43 0.000375761015671883 38282.0 101878583.47026636
1.434999942779541 1.43 1.44 0.00037321150478130413 38160.0 102247651.83045775
1.4450000524520874 1.44 1.45 0.000363500302122742 37298.0 102607892.70927675
1.4550000429153442 1.45 1.46 0.0003597210714512603 37038.0 102963109.30736898
1.465000033378601 1.46 1.47 0.00035254299149929853 36422.0 103312222.56072696
1.475000023841858 1.47 1.48 0.00035044974173300885 36326.0 103655376.7178264
1.4850000143051147 1.48 1.49 0.00035030682911708314 36429.0 103991692.34529632
1.4950000047683716 1.49 1.5 0.0003361200960750372 35065.0 104322831.06384662
1.5049999952316284 1.5 1.51 0.0002543377378738687 26616.0 104648253.23404984
1.5149999856948853 1.51 1.52 0.00025026003726554203 26269.0 104966818.86180213
1.524999976158142 1.52 1.53 0.00024807977326744715 26118.0 105280650.88096881
1.534999966621399 1.53 1.54 0.00024117222063338792 25465.0 105588446.0205307
1.5449999570846558 1.54 1.55 0.0002415715837234574 25580.0 105889937.90462987
1.5549999475479126 1.55 1.56 0.0002305375296910168 24480.0 106186615.39754452
1.565000057220459 1.56 1.57 0.00023147313857762423 24647.0 106478877.64192846
1.5750000476837158 1.57 1.58 0.00022985484171869576 24540.0 106763032.7754109
1.5850000381469727 1.58 1.59 0.00022995428333242375 24615.0 107043015.86944723
1.5950000286102295 1.59 1.6 0.00022618824576020155 24274.0 107317689.82254991
