#area is 3930.286square degrees
#effective area is 2971.75669802069square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.8050000071525574 0.8 0.81 0.0005069799202786314 32693.0 64485788.67193051
0.8149999976158142 0.81 0.82 0.0005466406280376304 35716.0 65337258.462137826
0.824999988079071 0.82 0.83 0.0005704510784983015 37753.0 66180959.98588318
0.8349999785423279 0.83 0.84 0.0005800199970564048 38871.0 67016654.938226104
0.8450000286102295 0.84 0.85 0.0006130490518660054 41592.0 67844489.5614826
0.8550000190734863 0.85 0.86 0.0006056190366065541 41584.0 68663627.6049153
0.8650000095367432 0.86 0.87 0.0006221981953407246 43227.0 69474647.02357145
0.875 0.87 0.88 0.0006372018581614897 44781.0 70277572.83885838
0.8849999904632568 0.88 0.89 0.0006441351527750474 45780.0 71072041.01929808
0.8949999809265137 0.89 0.9 0.0006554827884724666 47102.0 71858484.8120364
0.9049999713897705 0.9 0.91 0.0006378881290672656 46334.0 72636561.00286835
0.9150000214576721 0.91 0.92 0.0006428800340341131 47191.0 73405608.35879982
0.925000011920929 0.92 0.93 0.0006429982462589212 47689.0 74166609.74965815
0.9350000023841858 0.93 0.94 0.0006421339455629456 48108.0 74918948.50353178
0.9449999928474426 0.94 0.95 0.0006301346169965316 47678.0 75663197.53587261
0.9549999833106995 0.95 0.96 0.0006142517575424037 46928.0 76398641.80080985
0.9650000333786011 0.96 0.97 0.0006117252033006504 47180.0 77126133.99845812
0.9750000238418579 0.97 0.98 0.0006170143699207037 48031.0 77844216.18279774
0.9850000143051147 0.98 0.99 0.0006139968308243133 48232.0 78554151.38747014
0.9950000047683716 0.99 1.0 0.0006095561862434897 48311.0 79256024.44907674
1.0049999952316284 1.0 1.01 0.0006155067444871165 49209.0 79948758.38607487
1.0149999856948853 1.01 1.02 0.0006197672007431935 49974.0 80633502.2893656
1.024999976158142 1.02 1.03 0.0006003956991654164 48818.0 81309709.69289045
1.034999966621399 1.03 1.04 0.0005868315471735612 48107.0 81977528.69917178
1.0449999570846558 1.04 1.05 0.0005654872464315748 46730.0 82636700.1110686
1.0549999475479126 1.05 1.06 0.0005662180022254989 47159.0 83287708.64692272
1.065000057220459 1.06 1.07 0.0005546089012708411 46549.0 83931216.92301865
1.0750000476837158 1.07 1.08 0.000546907459043537 46249.0 84564580.78096592
1.0850000381469727 1.08 1.09 0.0005461406352690574 46526.0 85190511.37273252
1.0950000286102295 1.09 1.1 0.0005337370315432788 45799.0 85808173.86339873
1.1050000190734863 1.1 1.11 0.0005202289099686476 44957.0 86417727.15535821
1.1150000095367432 1.11 1.12 0.0005156340029297352 44870.0 87019086.68756738
1.125 1.12 1.13 0.0005146895904601573 45093.0 87612030.31070569
1.1349999904632568 1.13 1.14 0.0005104018542995826 45016.0 88197171.73985356
1.1449999809265137 1.14 1.15 0.0005011812478741245 44492.0 88774271.16182628
1.1549999713897705 1.15 1.16 0.0005030488460226475 44944.0 89343212.6032083
1.1649999618530273 1.16 1.17 0.0004973296249377238 44712.0 89904155.63038073
1.1749999523162842 1.17 1.18 0.0004914807287856213 44458.0 90457259.8601157
1.184999942779541 1.18 1.19 0.0004835073227910379 44001.0 91003792.34383662
