#area is 2971.75669802069square degrees
#effective area is 2971.75669802069square degrees
#zmid zlow zhigh n(z) Nbin Vol_bin
0.8050000071525574 0.8 0.81 0.0005062200629362752 32644.0 64485788.67193051
0.8149999976158142 0.81 0.82 0.0005456457898468351 35651.0 65337258.462137826
0.824999988079071 0.82 0.83 0.0005696049136797201 37697.0 66180959.98588318
0.8349999785423279 0.83 0.84 0.0005795574254758241 38840.0 67016654.938226104
0.8450000286102295 0.84 0.85 0.0006117224887128043 41502.0 67844489.5614826
0.8550000190734863 0.85 0.86 0.0006047306477735174 41523.0 68663627.6049153
0.8650000095367432 0.86 0.87 0.0006214641146050184 43176.0 69474647.02357145
0.875 0.87 0.88 0.0006365473107982011 44735.0 70277572.83885838
0.8849999904632568 0.88 0.89 0.0006431783771003269 45712.0 71072041.01929808
0.8949999809265137 0.89 0.9 0.0006542581592553297 47014.0 71858484.8120364
0.9049999713897705 0.9 0.91 0.000636896892711828 46262.0 72636561.00286835
0.9150000214576721 0.91 0.92 0.0006421716412946124 47139.0 73405608.35879982
0.925000011920929 0.92 0.93 0.0006417847621816014 47599.0 74166609.74965815
0.9350000023841858 0.93 0.94 0.0006406923876906416 48000.0 74918948.50353178
0.9449999928474426 0.94 0.95 0.0006291301656585615 47602.0 75663197.53587261
0.9549999833106995 0.95 0.96 0.0006132177077459954 46849.0 76398641.80080985
0.9650000333786011 0.96 0.97 0.000610610146762205 47094.0 77126133.99845812
0.9750000238418579 0.97 0.98 0.0006158068299824858 47937.0 77844216.18279774
0.9850000143051147 0.98 0.99 0.0006126219830525222 48124.0 78554151.38747014
0.9950000047683716 0.99 1.0 0.0006083196871800909 48213.0 79256024.44907674
1.0049999952316284 1.0 1.01 0.0006145686436145823 49134.0 79948758.38607487
1.0149999856948853 1.01 1.02 0.0006187626555144705 49893.0 80633502.2893656
1.024999976158142 1.02 1.03 0.0005998422597278638 48773.0 81309709.69289045
1.034999966621399 1.03 1.04 0.0005861240362139075 48049.0 81977528.69917178
1.0449999570846558 1.04 1.05 0.0005643739396335499 46638.0 82636700.1110686
1.0549999475479126 1.05 1.06 0.0005652094500469765 47075.0 83287708.64692272
1.065000057220459 1.06 1.07 0.0005535485091633178 46460.0 83931216.92301865
1.0750000476837158 1.07 1.08 0.0005462570685432582 46194.0 84564580.78096592
1.0850000381469727 1.08 1.09 0.0005454480698759251 46467.0 85190511.37273252
1.0950000286102295 1.09 1.1 0.0005324667562875261 45690.0 85808173.86339873
1.1050000190734863 1.1 1.11 0.0005197544702749689 44916.0 86417727.15535821
1.1150000095367432 1.11 1.12 0.0005151283667334145 44826.0 87019086.68756738
1.125 1.12 1.13 0.0005133541574199107 44976.0 87612030.31070569
1.1349999904632568 1.13 1.14 0.0005096762074479038 44952.0 88197171.73985356
1.1449999809265137 1.14 1.15 0.0005005053763720016 44432.0 88774271.16182628
1.1549999713897705 1.15 1.16 0.0005024220496676888 44888.0 89343212.6032083
1.1649999618530273 1.16 1.17 0.0004961172226940708 44603.0 89904155.63038073
1.1749999523162842 1.17 1.18 0.0004908727068304455 44403.0 90457259.8601157
1.184999942779541 1.18 1.19 0.0004824414331451042 43904.0 91003792.34383662
1.1950000524520874 1.19 1.2 0.0004891414488552363 44776.0 91539983.17826398
1.2050000429153442 1.2 1.21 0.00047535657895241565 43766.0 92069831.2337465
1.215000033378601 1.21 1.22 0.00047914732837411054 44365.0 92591562.91352734
1.225000023841858 1.22 1.23 0.0004714515006250087 43895.0 93106077.59612153
1.2350000143051147 1.23 1.24 0.0004621694782872777 43265.0 93612845.57416645
1.2450000047683716 1.24 1.25 0.0004561691704741113 42931.0 94112015.40731135
1.2549999952316284 1.25 1.26 0.0004513140060479004 42696.0 94603755.76172224
1.2649999856948853 1.26 1.27 0.00044955093441790335 42747.0 95088224.1082438
1.274999976158142 1.27 1.28 0.000444503125597874 42479.0 95565132.28757186
1.284999966621399 1.28 1.29 0.00044355879815902285 42597.0 96034618.5822433
1.2949999570846558 1.29 1.3 0.0004322298210004783 41709.0 96497275.2307015
1.3049999475479126 1.3 1.31 0.00042733249296619363 41431.0 96952608.75769074
1.315000057220459 1.31 1.32 0.000446173495910042 43458.0 97401572.2546685
1.3250000476837158 1.32 1.33 0.0004402930198358841 43079.0 97841660.12002046
1.3350000381469727 1.33 1.34 0.00041973702735421747 41250.0 98275818.69537802
1.3450000286102295 1.34 1.35 0.00041054460724610766 40522.0 98703038.0737858
1.3550000190734863 1.35 1.36 0.0004068561748375457 40329.0 99123480.22271761
1.3650000095367432 1.36 1.37 0.000404453031513242 40258.0 99536897.64513963
1.375 1.37 1.38 0.00039255223193375183 39233.0 99943387.93269444
1.3849999904632568 1.38 1.39 0.00039833936463087144 39971.0 100344087.35134643
1.3949999809265137 1.39 1.4 0.0003859856191177287 38883.0 100736913.69351347
1.4049999713897705 1.4 1.41 0.0003879080909126882 39227.0 101124469.73638754
1.4149999618530273 1.41 1.42 0.00037565763329947986 38131.0 101504659.08302574
1.4249999523162842 1.42 1.43 0.0003767720230543135 38385.0 101878583.47026636
1.434999942779541 1.43 1.44 0.00037523600115158006 38367.0 102247651.83045775
1.4450000524520874 1.44 1.45 0.00036485497374039074 37437.0 102607892.70927675
1.4550000429153442 1.45 1.46 0.0003609253862862934 37162.0 102963109.30736898
1.465000033378601 1.46 1.47 0.00035289144978533374 36458.0 103312222.56072696
1.475000023841858 1.47 1.48 0.00035134694555344516 36419.0 103655376.7178264
1.4850000143051147 1.48 1.49 0.0003506433944638974 36464.0 103991692.34529632
1.4950000047683716 1.49 1.5 0.0003371649296832556 35174.0 104322831.06384662
1.5049999952316284 1.5 1.51 0.0002545575217621727 26639.0 104648253.23404984
1.5149999856948853 1.51 1.52 0.0002507268514505514 26318.0 104966818.86180213
1.524999976158142 1.52 1.53 0.00024830773538393454 26142.0 105280650.88096881
1.534999966621399 1.53 1.54 0.0002416646987591659 25517.0 105588446.0205307
1.5449999570846558 1.54 1.55 0.00024216654110322978 25643.0 105889937.90462987
1.5549999475479126 1.55 1.56 0.00023072587734599312 24500.0 106186615.39754452
1.565000057220459 1.56 1.57 0.0002317830591997308 24680.0 106478877.64192846
1.5750000476837158 1.57 1.58 0.00023021077016145494 24578.0 106763032.7754109
1.5850000381469727 1.58 1.59 0.00023032796488161314 24655.0 107043015.86944723
1.5950000286102295 1.59 1.6 0.00022625347265813026 24281.0 107317689.82254991
